설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 5641, 12999.3125, 2.35, 2.3044340542457, 2.846555, 2.89270001555578, 781231.96775, 1413503.93364375, 0, 2194735.90139375, 347229.881881862, 0, 2541965.78327561, 389.068587377016, 61.5546679457298, 450.623255322746, 1.25527567613673, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 0, 4235, 6.63, 0, 8.030919, 0, 236731.716, 485183.0425, 0, 721914.7585, 113122.793976196, 0, 835037.552476196, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 5641, 17234.3125, 2.7759486305555, 3.05518746676121, 3.36250657619188, 3.83510251306315, 1017963.68375, 1898686.97614375, 0, 2916650.65989375, 460352.675858058, 0, 3377003.33575181, 517.04496719, 81.6083453, 598.65331249, 1.25527567613673, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31242323439099, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 1250, 27781.0356137387, 0, 22.224828490991, 0, 29.1683812919315, 3703231.29638159, 198154.114464217, 0, 3901385.4108458, 328572.953297054, 0, 4229958.36414286, 3121.10832867664, 262.858362637643, 3383.96669131429, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1170, 0, 0, 0, 0, 63820.6556, 136235.5553, 0, 200056.2109, 13837.8698585102, 0, 213894.08075851, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 1750, 32481.8592342342, 0, 18.5610624195624, 0, 24.3599695744152, 2609032.54082766, 2620153.75596795, 0, 5229186.29679561, 384170.718671607, 0, 5613357.01546722, 2988.10645531178, 219.526124955204, 3207.63258026698, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
