설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 2896, 8687.75, 2.26, 2.99991367403315, 2.737538, 3.7165548607575, 1202728.6349, 0, 0, 1202728.6349, 141165.722584385, 0, 1343894.35748438, 415.30684906768, 48.7450699531715, 464.051919020851, 1.23888726963296, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 11088, 31554, 3.25, 2.84577922077922, 3.936725, 3.52559964880937, 4368323.1384, 0, 0, 4368323.1384, 512715.399318313, 0, 4881038.53771831, 393.968537012987, 46.2405663165867, 440.209103329574, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 13984, 40241.75, 2.73777750715179, 2.87769951372998, 3.31626989441296, 3.56514529338902, 5571051.7733, 0, 0, 5571051.7733, 653881.121902698, 0, 6224932.8952027, 398.3875696, 46.75923355, 445.14680315, 1.23888726963296, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28365984405458, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 4837, 92417.2659800693, 22.51, 19.106319201999, 29.5634730696465, 24.5260147272951, 12794209.3353744, 0, 0, 12794209.3353744, 912144.035348358, 0, 13706353.3707228, 2645.07118779706, 188.576397632491, 2833.64758542956, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1130, 0, 0, 0, 0, 156436.748, 0, 0, 156436.748, 11152.9241750771, 0, 167589.672175077, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3172, 47721.8433949307, 15.34, 15.04471733762, 20.1467648551034, 19.3122995114546, 6606592.91085685, 0, 0, 6606592.91085685, 471007.168919084, 0, 7077600.07977593, 2082.78465033318, 148.48901920526, 2231.27366953844, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
