설비	 생산량	 전력사용량	 원단위	 	 	 	 전력비용	 	 	 	 	 	 	" 전력원가		"	 	 	 Factor	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
	 	 	 Part	 	 Cement	 	 경부하	 중간부하	 최대부하	 사용요금 <br> 합계	 기본요금	 기타	 합계	 사용요금	 기본요금	 합계	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
	 	 	 목표	 실적	 목표	 실적	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
	 Ton	 kWh	 kWh/Ton	 	 	 	 원	 	 	 	 	 	 	 원/Ton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
기존 Q/R	9081	24391.84375	2.26	2.686030586	2.737538	3.126406585	1082692.849	2074127.483	1592394.336	4749214.668	529760.5564	0	5278975.224	522.9836657	58.3372488	581.3209145	1.163950478	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
신설 Q/R	0	10871	3.25	0	3.936725	0	579231.2864	767838.1932	741765.5388	2088835.018	236104.6204	0	2324939.639	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
합계	9081	35262.84375	2.737777507	3.883145441	3.316269894	4.519788993	1661924.136	2841965.676	2334159.874	6838049.686	765865.1767	0	7603914.863	753.0062423	84.33709688	837.3433392	1.163950478	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.251041554	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3R	0	57.78125	22.51	0	29.56347307	0	3287.9405	3963.128813	3695.389913	10946.45923	803.672981	0	11750.13221	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4R	0	1135	0	0	0	0	65620.3704	73209.7977	77181.104	216011.2721	15786.58879	0	231797.8609	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5R	0	2415.125	15.34	0	20.14676486	0	139737.4713	154598.0521	165715.4106	460050.934	33591.70506	0	493642.639	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
